,AskPrice1,BidPrice1,InstrumentID,LastPrice,UpdateMillisec,UpdateTime
0,455.0,453.0,i1801,455.0,89,20:59:00
1,456.0,455.0,i1801,455.0,201,21:00:00
2,456.0,455.5,i1801,455.0,701,21:00:00
3,456.0,455.0,i1801,455.0,201,21:00:01
4,457.0,456.5,i1801,457.0,191,21:00:02
5,456.5,455.5,i1801,456.0,700,21:00:01
6,457.5,455.5,i1801,456.0,695,21:00:02
7,457.0,456.5,i1801,456.0,200,21:00:03
8,457.0,456.5,i1801,457.0,691,21:00:03
9,456.5,456.0,i1801,456.0,198,21:00:04
10,457.0,456.0,i1801,456.0,191,21:00:05
11,457.0,456.0,i1801,457.0,693,21:00:05
12,457.0,456.0,i1801,456.0,695,21:00:04
13,456.5,456.0,i1801,457.0,187,21:00:06
14,457.5,455.5,i1801,456.0,695,21:00:06
15,457.0,456.0,i1801,456.5,193,21:00:07
16,457.0,456.0,i1801,456.5,680,21:00:07
17,457.0,456.0,i1801,456.0,694,21:00:08
18,457.0,456.0,i1801,456.0,201,21:00:08
19,456.0,455.5,i1801,456.0,699,21:00:09
20,457.0,456.0,i1801,456.0,188,21:00:09
21,456.0,455.5,i1801,456.0,688,21:00:10
22,456.5,456.0,i1801,456.0,147,21:00:10
23,456.0,455.5,i1801,455.5,697,21:00:11
24,456.0,455.5,i1801,455.5,170,21:00:12
25,456.0,455.5,i1801,455.5,191,21:00:11
26,456.0,455.5,i1801,456.0,690,21:00:12
27,456.0,455.5,i1801,455.5,194,21:00:13
28,456.0,455.5,i1801,456.0,200,21:00:14
29,456.0,455.5,i1801,456.0,199,21:00:15
30,456.0,455.5,i1801,456.0,684,21:00:14
31,456.5,455.0,i1801,455.5,671,21:00:16
32,456.0,455.5,i1801,455.5,184,21:00:16
33,456.0,455.5,i1801,456.0,688,21:00:15
34,456.0,455.5,i1801,456.0,693,21:00:17
35,456.5,456.0,i1801,456.0,181,21:00:17
36,456.0,455.5,i1801,456.0,690,21:00:18
37,456.5,455.5,i1801,456.0,118,21:00:19
38,456.0,455.0,i1801,455.5,179,21:00:18
39,456.0,455.5,i1801,456.0,170,21:00:20
40,456.5,455.5,i1801,456.0,660,21:00:19
41,456.5,455.5,i1801,456.0,194,21:00:22
42,456.5,455.5,i1801,456.0,695,21:00:21
43,456.5,455.5,i1801,456.0,700,21:00:20
44,456.5,455.5,i1801,456.0,689,21:00:22
45,456.5,456.0,i1801,456.0,158,21:00:21
46,456.5,455.5,i1801,456.0,166,21:00:24
47,456.5,455.5,i1801,456.0,116,21:00:23
48,456.5,455.5,i1801,456.0,691,21:00:24
49,456.5,455.5,i1801,456.0,677,21:00:23
50,456.5,455.5,i1801,456.0,184,21:00:25
51,456.5,455.5,i1801,455.5,173,21:00:26
52,456.0,455.5,i1801,455.5,681,21:00:25
53,456.0,455.5,i1801,456.0,186,21:00:27
54,456.5,456.0,i1801,456.0,699,21:00:26
55,456.0,455.0,i1801,455.5,693,21:00:27
56,456.0,455.0,i1801,455.5,699,21:00:28
57,456.0,455.0,i1801,455.5,189,21:00:28
58,456.0,455.0,i1801,456.0,176,21:00:29
59,456.0,455.0,i1801,455.5,698,21:00:29
60,456.0,455.5,i1801,455.5,193,21:00:30
61,456.0,455.5,i1801,456.0,192,21:00:31
